proyect,ident,source_data,source_metadata,age,notes,healthy how,cells_estimate
macrophages,D5_MP,https://explore.data.humancellatlas.org/projects/4d6f6c96-2a83-43d8-8fe1-0f53bffd4674,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/e3f2b43a-9f2f-5d15-9df2-8677f2a6cc11.9ccdeae8-d057-5cde-ad9f-6736e27acb4f.tsv?response-content-disposition=attachment%3Bfilename%3D%22SingleCellLiverLandscape+2024-09-30+15.05.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHPCFAAVTA&Signature=vnUw2b2q6%2F3tlNFXaiUvPMIMSqY%3D&x-amz-security-token=IQoJb3JpZ2luX2VjEDMaCXVzLWVhc3QtMSJGMEQCIHees6bPa7P3o0ODWjEmat9lnbyPgWbo1PmPoIPVGAC%2FAiBQrTwRxRgUTOG%2F4NC1%2FrJdcEteua%2B5GJ%2FWL0JczPkbaCr2Agh8EAIaDDU0Mjc1NDU4OTMyNiIMiFgrKnuF0xp%2BVr2hKtMCH6xQy1c1PeSn16A%2FQsogWdU9B0FcLL4c40LvkKZkb82PzB1doYP2dCQYayjZ8LKIdUUqfqDyOaHxEX8mtu6%2B4MUbJa9C9ZQP9tS3O1%2Fom%2FARV0ytGw2w2zqLceFjtoGFXDL8J4BG8xdDrxyEB6Tsxf7zUCMjaQclR64cTci9coIJi7wFnGfeSz4P4VO5krQ8dwmiEie7WhUfPI9b3d3m07GbeQ8RKX%2Fx7qb%2BA7xFSiwSJNNx94IdYww6QGd%2BLFT618OwzleGcZ2cUjVsa%2BOvoUxSEkX0lO4V%2FsHwzbBHIRMSNNCDV90aWO142v2LtfrWvi4Th%2FCLOChp1hA%2BLluZF9dxdhAm9b4sF%2BENiH30WoODkm39%2FUE5I5opfuXMF%2BE%2BpTi1IFGS4XwDuQBbXZeUqioU%2F5OGuDqJG3wEBviJGszYCo8uHTtiRBIHNWj2bF79Lx2eMO%2FY67cGOp8B8FA6Rb3vfnn5s%2Bz8VaksGyDoBCZ7yCAaL3qM7RwlIzwod0GMq%2FDMInEwmVzSSIE5RHfcEQhHU2nBqOqUnILBYijYs%2Byuvy1x4UaweV4NEL1Jv7A%2BA6AtMgKt8ivgRbKQI0lrMo6Dta526%2F1q1YEJFjIOd08o6Z80Nwd1QoSNvY4YDb6U%2FmiCuCjUQ%2Fu%2BMzdVp8isOFIh9P8eOiBLCbOG&Expires=1727724667,65.0,obesity,Histopath,6000
SC_SN,D2_CTLH,https://explore.data.humancellatlas.org/projects/8a666b76-daaf-4b1f-9414-e4807a1d1e8b,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/3978b31a-c34d-5e78-8513-93e6eac9ee3d.ecc110f6-9df6-5a4d-beb0-ecc8caa7f028.tsv?response-content-disposition=attachment%3Bfilename%3D%22SingleCell%2CSingleNucleusandSpatialRNASequencingoft+2024-10-07+16.12.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHG273EAWE&Signature=cUie7JwWCX2eAnB9ciJ6SauJDMk%3D&x-amz-security-token=IQoJb3JpZ2luX2VjENf%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIAZJ9Nb0N7o%2FHao6ch3HdQgNMEbdWyXEZgWGIBRD1yfdAiA5a4TIiGH5MoIR8T0OXicPZnPN9qdR5W2FPdHegmLgzyr2AggwEAIaDDU0Mjc1NDU4OTMyNiIMdXMLLR%2FFIkG%2F90UHKtMCNHz8BNDkmiuYS2ZCYd7H5YAH3mbcr%2Bjp7zbwuhx%2FwCKdB3wIBDbHjsJiOH27%2FPBpzJz2kWsg7h7Zo7txBsMM38En4zIQiyxp3evmvCiGretaUceUMkq%2F8xD1%2BJugkIGRVC0%2B7cowWsdB9MtDW1IkmhzA3vIVC8qrvE6l%2FOjict78p0WZ0kHwVK5VXMZv4o3mLBo1E5oye0ZRczPM3KLwTHipaWfHFux805farri0KHu1fs3905C9%2BMpTZW1M7iMv%2B5julrE6GQmmQuXBcr8acCJZ%2BAApP6Et7%2ByVFqWm%2BMO%2F%2BP0uSLY3iWIbmqi8mZ5Sb6oXzi9ovYqj2YD3X8EUZfgi3Ql%2FMjjqS7nm1OB0gEoMeI9l57SWWgYmhfDFY1ihIUmTY5csjo8E36N8W1Gdz%2F28sH7j0bqdkUSye5LRjgwAWIXuS58a7hrFLdiiSOJotIO5MNHsj7gGOp8BzCLg1%2B%2B0atMVCVP3rv9o9%2Bh8U%2Fm%2F2o57NslVIrazy1R0tjeQ4WjS%2FGTLc4r4oFYsHcgSzgXiSXZIasxPnJ43LZoTAYkXg%2Bk6eqcr5cC090%2FVSCiVJO3k5JS4qPucSxsyqgG9xjkKpVYcaOzxPSs2NKkStBXUYZa0WD4vra5V7gpGzrkiCozlmZ8AiTpwcVzpu6kg8gzgHXWxxbThgsjE&Expires=1728322603,30-60,PM transplant,Histopath,6000
SC_SN,D3_C70,https://explore.data.humancellatlas.org/projects/8a666b76-daaf-4b1f-9414-e4807a1d1e8b,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/3978b31a-c34d-5e78-8513-93e6eac9ee3d.ecc110f6-9df6-5a4d-beb0-ecc8caa7f028.tsv?response-content-disposition=attachment%3Bfilename%3D%22SingleCell%2CSingleNucleusandSpatialRNASequencingoft+2024-10-07+16.12.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHG273EAWE&Signature=cUie7JwWCX2eAnB9ciJ6SauJDMk%3D&x-amz-security-token=IQoJb3JpZ2luX2VjENf%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIAZJ9Nb0N7o%2FHao6ch3HdQgNMEbdWyXEZgWGIBRD1yfdAiA5a4TIiGH5MoIR8T0OXicPZnPN9qdR5W2FPdHegmLgzyr2AggwEAIaDDU0Mjc1NDU4OTMyNiIMdXMLLR%2FFIkG%2F90UHKtMCNHz8BNDkmiuYS2ZCYd7H5YAH3mbcr%2Bjp7zbwuhx%2FwCKdB3wIBDbHjsJiOH27%2FPBpzJz2kWsg7h7Zo7txBsMM38En4zIQiyxp3evmvCiGretaUceUMkq%2F8xD1%2BJugkIGRVC0%2B7cowWsdB9MtDW1IkmhzA3vIVC8qrvE6l%2FOjict78p0WZ0kHwVK5VXMZv4o3mLBo1E5oye0ZRczPM3KLwTHipaWfHFux805farri0KHu1fs3905C9%2BMpTZW1M7iMv%2B5julrE6GQmmQuXBcr8acCJZ%2BAApP6Et7%2ByVFqWm%2BMO%2F%2BP0uSLY3iWIbmqi8mZ5Sb6oXzi9ovYqj2YD3X8EUZfgi3Ql%2FMjjqS7nm1OB0gEoMeI9l57SWWgYmhfDFY1ihIUmTY5csjo8E36N8W1Gdz%2F28sH7j0bqdkUSye5LRjgwAWIXuS58a7hrFLdiiSOJotIO5MNHsj7gGOp8BzCLg1%2B%2B0atMVCVP3rv9o9%2Bh8U%2Fm%2F2o57NslVIrazy1R0tjeQ4WjS%2FGTLc4r4oFYsHcgSzgXiSXZIasxPnJ43LZoTAYkXg%2Bk6eqcr5cC090%2FVSCiVJO3k5JS4qPucSxsyqgG9xjkKpVYcaOzxPSs2NKkStBXUYZa0WD4vra5V7gpGzrkiCozlmZ8AiTpwcVzpu6kg8gzgHXWxxbThgsjE&Expires=1728322604,30-60,PM transplant,Histopath,6000
SC_SN,D4_C72,https://explore.data.humancellatlas.org/projects/8a666b76-daaf-4b1f-9414-e4807a1d1e8b,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/3978b31a-c34d-5e78-8513-93e6eac9ee3d.ecc110f6-9df6-5a4d-beb0-ecc8caa7f028.tsv?response-content-disposition=attachment%3Bfilename%3D%22SingleCell%2CSingleNucleusandSpatialRNASequencingoft+2024-10-07+16.12.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHG273EAWE&Signature=cUie7JwWCX2eAnB9ciJ6SauJDMk%3D&x-amz-security-token=IQoJb3JpZ2luX2VjENf%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIAZJ9Nb0N7o%2FHao6ch3HdQgNMEbdWyXEZgWGIBRD1yfdAiA5a4TIiGH5MoIR8T0OXicPZnPN9qdR5W2FPdHegmLgzyr2AggwEAIaDDU0Mjc1NDU4OTMyNiIMdXMLLR%2FFIkG%2F90UHKtMCNHz8BNDkmiuYS2ZCYd7H5YAH3mbcr%2Bjp7zbwuhx%2FwCKdB3wIBDbHjsJiOH27%2FPBpzJz2kWsg7h7Zo7txBsMM38En4zIQiyxp3evmvCiGretaUceUMkq%2F8xD1%2BJugkIGRVC0%2B7cowWsdB9MtDW1IkmhzA3vIVC8qrvE6l%2FOjict78p0WZ0kHwVK5VXMZv4o3mLBo1E5oye0ZRczPM3KLwTHipaWfHFux805farri0KHu1fs3905C9%2BMpTZW1M7iMv%2B5julrE6GQmmQuXBcr8acCJZ%2BAApP6Et7%2ByVFqWm%2BMO%2F%2BP0uSLY3iWIbmqi8mZ5Sb6oXzi9ovYqj2YD3X8EUZfgi3Ql%2FMjjqS7nm1OB0gEoMeI9l57SWWgYmhfDFY1ihIUmTY5csjo8E36N8W1Gdz%2F28sH7j0bqdkUSye5LRjgwAWIXuS58a7hrFLdiiSOJotIO5MNHsj7gGOp8BzCLg1%2B%2B0atMVCVP3rv9o9%2Bh8U%2Fm%2F2o57NslVIrazy1R0tjeQ4WjS%2FGTLc4r4oFYsHcgSzgXiSXZIasxPnJ43LZoTAYkXg%2Bk6eqcr5cC090%2FVSCiVJO3k5JS4qPucSxsyqgG9xjkKpVYcaOzxPSs2NKkStBXUYZa0WD4vra5V7gpGzrkiCozlmZ8AiTpwcVzpu6kg8gzgHXWxxbThgsjE&Expires=1728322605,18-30,PM transplant,Histopath,6000
SC_SN,D1_41,https://explore.data.humancellatlas.org/projects/8a666b76-daaf-4b1f-9414-e4807a1d1e8b,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/3978b31a-c34d-5e78-8513-93e6eac9ee3d.ecc110f6-9df6-5a4d-beb0-ecc8caa7f028.tsv?response-content-disposition=attachment%3Bfilename%3D%22SingleCell%2CSingleNucleusandSpatialRNASequencingoft+2024-10-07+16.12.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHG273EAWE&Signature=cUie7JwWCX2eAnB9ciJ6SauJDMk%3D&x-amz-security-token=IQoJb3JpZ2luX2VjENf%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIAZJ9Nb0N7o%2FHao6ch3HdQgNMEbdWyXEZgWGIBRD1yfdAiA5a4TIiGH5MoIR8T0OXicPZnPN9qdR5W2FPdHegmLgzyr2AggwEAIaDDU0Mjc1NDU4OTMyNiIMdXMLLR%2FFIkG%2F90UHKtMCNHz8BNDkmiuYS2ZCYd7H5YAH3mbcr%2Bjp7zbwuhx%2FwCKdB3wIBDbHjsJiOH27%2FPBpzJz2kWsg7h7Zo7txBsMM38En4zIQiyxp3evmvCiGretaUceUMkq%2F8xD1%2BJugkIGRVC0%2B7cowWsdB9MtDW1IkmhzA3vIVC8qrvE6l%2FOjict78p0WZ0kHwVK5VXMZv4o3mLBo1E5oye0ZRczPM3KLwTHipaWfHFux805farri0KHu1fs3905C9%2BMpTZW1M7iMv%2B5julrE6GQmmQuXBcr8acCJZ%2BAApP6Et7%2ByVFqWm%2BMO%2F%2BP0uSLY3iWIbmqi8mZ5Sb6oXzi9ovYqj2YD3X8EUZfgi3Ql%2FMjjqS7nm1OB0gEoMeI9l57SWWgYmhfDFY1ihIUmTY5csjo8E36N8W1Gdz%2F28sH7j0bqdkUSye5LRjgwAWIXuS58a7hrFLdiiSOJotIO5MNHsj7gGOp8BzCLg1%2B%2B0atMVCVP3rv9o9%2Bh8U%2Fm%2F2o57NslVIrazy1R0tjeQ4WjS%2FGTLc4r4oFYsHcgSzgXiSXZIasxPnJ43LZoTAYkXg%2Bk6eqcr5cC090%2FVSCiVJO3k5JS4qPucSxsyqgG9xjkKpVYcaOzxPSs2NKkStBXUYZa0WD4vra5V7gpGzrkiCozlmZ8AiTpwcVzpu6kg8gzgHXWxxbThgsjE&Expires=1728322606,41.0,PM transplant,histopath,6000
fibrotic,D1_H,https://explore.data.humancellatlas.org/projects/c41dffbf-ad83-447c-a0e1-13e689d9b258,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/090e34d0-cab0-5171-b189-313a7207de69.ecc110f6-9df6-5a4d-beb0-ecc8caa7f028.tsv?response-content-disposition=attachment%3Bfilename%3D%22HealthyAndCirrhoticLiver+2024-10-07+15.26.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHFRH2FOZO&Signature=NY7sgoW6FwvMZ0kcZqbAU70qDyw%3D&x-amz-security-token=IQoJb3JpZ2luX2VjENn%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQCzxydzyXBrvr33D8U1HIca4dhvgdOHRyEcU3Vu0PQvtAIhAPOZ5c572EyivoNM%2BGv5B392NmFVZFGlvOaLwP7RDTXWKvYCCDIQAhoMNTQyNzU0NTg5MzI2IgyBsVhlXHUNmDxLdEYq0wIeqh6hnc9QmlgxoSoq1a0s%2FsRI8ixFX9xPffB6F3Vrfy3oZDEKv5KVHjAwOStu90x6kODzqXmiyR%2Fc23nMr8mY7wnhxZsew6But1KDvZUheVAK4TZ%2FeAp%2BD0vRBfkWP1QDbzCU8agfMlXz9gJEtiZ9MNgyPCtIILC7N5k4y93AWfpcEsHk2xENifuiGpbi4igbjJOVCLUzRCO4i2yvURoutQRVe25o0GPz%2FKP%2FIrOBQs5VN%2Bv4jziuGiZx22nJ6yZtuFSpbyfb4Hvr4YWy%2FDxOzlVvItXUqqJQ2%2Ba3rTXbcRpDbyfXh75KMO32fGOLppIeKMGbQ3Z0KvqpavfReinbisIGWCvUnu7AsSM6wCN9Y2rI4z6tqSrJvMCtlzvDOTJsdpn3A6JRB1ugpsDOBPi%2BkK08RgCwcOS78olYxoC%2B3oXNbCQApcNoOKJW0ENn%2FS315EQw4qiQuAY6nQGvs8avlLB3ftzUuQi47VXT%2F9PTiAuAAR1dzZcmMI06t32EF3hxNCbV5S46M93sAC1AwS7jXAld25BAf0FpX3G5Tx1SxT%2FiCtoeumLXmTOOGF6%2B2rH9Ow2ZfA0DwaiCyzMKBmom1cUSfscrAarQXJ8FyoTBkeXTcoUb9fqqOwQHYNAF7TzCZnFTcbdI%2BJG9i%2FGSkYSnS0yxfuXsqL3V&Expires=1728325103,49.5-65.3,BH available,histopath,10000
fibrotic,D2_H,https://explore.data.humancellatlas.org/projects/c41dffbf-ad83-447c-a0e1-13e689d9b259,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/090e34d0-cab0-5171-b189-313a7207de69.ecc110f6-9df6-5a4d-beb0-ecc8caa7f028.tsv?response-content-disposition=attachment%3Bfilename%3D%22HealthyAndCirrhoticLiver+2024-10-07+15.26.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHFRH2FOZO&Signature=NY7sgoW6FwvMZ0kcZqbAU70qDyw%3D&x-amz-security-token=IQoJb3JpZ2luX2VjENn%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQCzxydzyXBrvr33D8U1HIca4dhvgdOHRyEcU3Vu0PQvtAIhAPOZ5c572EyivoNM%2BGv5B392NmFVZFGlvOaLwP7RDTXWKvYCCDIQAhoMNTQyNzU0NTg5MzI2IgyBsVhlXHUNmDxLdEYq0wIeqh6hnc9QmlgxoSoq1a0s%2FsRI8ixFX9xPffB6F3Vrfy3oZDEKv5KVHjAwOStu90x6kODzqXmiyR%2Fc23nMr8mY7wnhxZsew6But1KDvZUheVAK4TZ%2FeAp%2BD0vRBfkWP1QDbzCU8agfMlXz9gJEtiZ9MNgyPCtIILC7N5k4y93AWfpcEsHk2xENifuiGpbi4igbjJOVCLUzRCO4i2yvURoutQRVe25o0GPz%2FKP%2FIrOBQs5VN%2Bv4jziuGiZx22nJ6yZtuFSpbyfb4Hvr4YWy%2FDxOzlVvItXUqqJQ2%2Ba3rTXbcRpDbyfXh75KMO32fGOLppIeKMGbQ3Z0KvqpavfReinbisIGWCvUnu7AsSM6wCN9Y2rI4z6tqSrJvMCtlzvDOTJsdpn3A6JRB1ugpsDOBPi%2BkK08RgCwcOS78olYxoC%2B3oXNbCQApcNoOKJW0ENn%2FS315EQw4qiQuAY6nQGvs8avlLB3ftzUuQi47VXT%2F9PTiAuAAR1dzZcmMI06t32EF3hxNCbV5S46M93sAC1AwS7jXAld25BAf0FpX3G5Tx1SxT%2FiCtoeumLXmTOOGF6%2B2rH9Ow2ZfA0DwaiCyzMKBmom1cUSfscrAarQXJ8FyoTBkeXTcoUb9fqqOwQHYNAF7TzCZnFTcbdI%2BJG9i%2FGSkYSnS0yxfuXsqL3V&Expires=1728325104,49.5-65.4,BH available,histopath,10000
fibrotic,D3_H,https://explore.data.humancellatlas.org/projects/c41dffbf-ad83-447c-a0e1-13e689d9b260,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/090e34d0-cab0-5171-b189-313a7207de69.ecc110f6-9df6-5a4d-beb0-ecc8caa7f028.tsv?response-content-disposition=attachment%3Bfilename%3D%22HealthyAndCirrhoticLiver+2024-10-07+15.26.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHFRH2FOZO&Signature=NY7sgoW6FwvMZ0kcZqbAU70qDyw%3D&x-amz-security-token=IQoJb3JpZ2luX2VjENn%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQCzxydzyXBrvr33D8U1HIca4dhvgdOHRyEcU3Vu0PQvtAIhAPOZ5c572EyivoNM%2BGv5B392NmFVZFGlvOaLwP7RDTXWKvYCCDIQAhoMNTQyNzU0NTg5MzI2IgyBsVhlXHUNmDxLdEYq0wIeqh6hnc9QmlgxoSoq1a0s%2FsRI8ixFX9xPffB6F3Vrfy3oZDEKv5KVHjAwOStu90x6kODzqXmiyR%2Fc23nMr8mY7wnhxZsew6But1KDvZUheVAK4TZ%2FeAp%2BD0vRBfkWP1QDbzCU8agfMlXz9gJEtiZ9MNgyPCtIILC7N5k4y93AWfpcEsHk2xENifuiGpbi4igbjJOVCLUzRCO4i2yvURoutQRVe25o0GPz%2FKP%2FIrOBQs5VN%2Bv4jziuGiZx22nJ6yZtuFSpbyfb4Hvr4YWy%2FDxOzlVvItXUqqJQ2%2Ba3rTXbcRpDbyfXh75KMO32fGOLppIeKMGbQ3Z0KvqpavfReinbisIGWCvUnu7AsSM6wCN9Y2rI4z6tqSrJvMCtlzvDOTJsdpn3A6JRB1ugpsDOBPi%2BkK08RgCwcOS78olYxoC%2B3oXNbCQApcNoOKJW0ENn%2FS315EQw4qiQuAY6nQGvs8avlLB3ftzUuQi47VXT%2F9PTiAuAAR1dzZcmMI06t32EF3hxNCbV5S46M93sAC1AwS7jXAld25BAf0FpX3G5Tx1SxT%2FiCtoeumLXmTOOGF6%2B2rH9Ow2ZfA0DwaiCyzMKBmom1cUSfscrAarQXJ8FyoTBkeXTcoUb9fqqOwQHYNAF7TzCZnFTcbdI%2BJG9i%2FGSkYSnS0yxfuXsqL3V&Expires=1728325105,49.5-65.5,BH available,histopath,10000
fibrotic,D4_H,https://explore.data.humancellatlas.org/projects/c41dffbf-ad83-447c-a0e1-13e689d9b261,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/090e34d0-cab0-5171-b189-313a7207de69.ecc110f6-9df6-5a4d-beb0-ecc8caa7f028.tsv?response-content-disposition=attachment%3Bfilename%3D%22HealthyAndCirrhoticLiver+2024-10-07+15.26.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHFRH2FOZO&Signature=NY7sgoW6FwvMZ0kcZqbAU70qDyw%3D&x-amz-security-token=IQoJb3JpZ2luX2VjENn%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQCzxydzyXBrvr33D8U1HIca4dhvgdOHRyEcU3Vu0PQvtAIhAPOZ5c572EyivoNM%2BGv5B392NmFVZFGlvOaLwP7RDTXWKvYCCDIQAhoMNTQyNzU0NTg5MzI2IgyBsVhlXHUNmDxLdEYq0wIeqh6hnc9QmlgxoSoq1a0s%2FsRI8ixFX9xPffB6F3Vrfy3oZDEKv5KVHjAwOStu90x6kODzqXmiyR%2Fc23nMr8mY7wnhxZsew6But1KDvZUheVAK4TZ%2FeAp%2BD0vRBfkWP1QDbzCU8agfMlXz9gJEtiZ9MNgyPCtIILC7N5k4y93AWfpcEsHk2xENifuiGpbi4igbjJOVCLUzRCO4i2yvURoutQRVe25o0GPz%2FKP%2FIrOBQs5VN%2Bv4jziuGiZx22nJ6yZtuFSpbyfb4Hvr4YWy%2FDxOzlVvItXUqqJQ2%2Ba3rTXbcRpDbyfXh75KMO32fGOLppIeKMGbQ3Z0KvqpavfReinbisIGWCvUnu7AsSM6wCN9Y2rI4z6tqSrJvMCtlzvDOTJsdpn3A6JRB1ugpsDOBPi%2BkK08RgCwcOS78olYxoC%2B3oXNbCQApcNoOKJW0ENn%2FS315EQw4qiQuAY6nQGvs8avlLB3ftzUuQi47VXT%2F9PTiAuAAR1dzZcmMI06t32EF3hxNCbV5S46M93sAC1AwS7jXAld25BAf0FpX3G5Tx1SxT%2FiCtoeumLXmTOOGF6%2B2rH9Ow2ZfA0DwaiCyzMKBmom1cUSfscrAarQXJ8FyoTBkeXTcoUb9fqqOwQHYNAF7TzCZnFTcbdI%2BJG9i%2FGSkYSnS0yxfuXsqL3V&Expires=1728325106,49.5-65.6,BH available,histopath,10000
fibrotic,D5_H,https://explore.data.humancellatlas.org/projects/c41dffbf-ad83-447c-a0e1-13e689d9b262,https://s3.amazonaws.com/edu-ucsc-gi-platform-hca-prod-storage-prod.us-east-1/manifests/090e34d0-cab0-5171-b189-313a7207de69.ecc110f6-9df6-5a4d-beb0-ecc8caa7f028.tsv?response-content-disposition=attachment%3Bfilename%3D%22HealthyAndCirrhoticLiver+2024-10-07+15.26.tsv%22&AWSAccessKeyId=ASIAX4XVRZKHFRH2FOZO&Signature=NY7sgoW6FwvMZ0kcZqbAU70qDyw%3D&x-amz-security-token=IQoJb3JpZ2luX2VjENn%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQCzxydzyXBrvr33D8U1HIca4dhvgdOHRyEcU3Vu0PQvtAIhAPOZ5c572EyivoNM%2BGv5B392NmFVZFGlvOaLwP7RDTXWKvYCCDIQAhoMNTQyNzU0NTg5MzI2IgyBsVhlXHUNmDxLdEYq0wIeqh6hnc9QmlgxoSoq1a0s%2FsRI8ixFX9xPffB6F3Vrfy3oZDEKv5KVHjAwOStu90x6kODzqXmiyR%2Fc23nMr8mY7wnhxZsew6But1KDvZUheVAK4TZ%2FeAp%2BD0vRBfkWP1QDbzCU8agfMlXz9gJEtiZ9MNgyPCtIILC7N5k4y93AWfpcEsHk2xENifuiGpbi4igbjJOVCLUzRCO4i2yvURoutQRVe25o0GPz%2FKP%2FIrOBQs5VN%2Bv4jziuGiZx22nJ6yZtuFSpbyfb4Hvr4YWy%2FDxOzlVvItXUqqJQ2%2Ba3rTXbcRpDbyfXh75KMO32fGOLppIeKMGbQ3Z0KvqpavfReinbisIGWCvUnu7AsSM6wCN9Y2rI4z6tqSrJvMCtlzvDOTJsdpn3A6JRB1ugpsDOBPi%2BkK08RgCwcOS78olYxoC%2B3oXNbCQApcNoOKJW0ENn%2FS315EQw4qiQuAY6nQGvs8avlLB3ftzUuQi47VXT%2F9PTiAuAAR1dzZcmMI06t32EF3hxNCbV5S46M93sAC1AwS7jXAld25BAf0FpX3G5Tx1SxT%2FiCtoeumLXmTOOGF6%2B2rH9Ow2ZfA0DwaiCyzMKBmom1cUSfscrAarQXJ8FyoTBkeXTcoUb9fqqOwQHYNAF7TzCZnFTcbdI%2BJG9i%2FGSkYSnS0yxfuXsqL3V&Expires=1728325107,49.5-65.7,BH available,histopath,10000
cross_immune,D1_A29,https://explore.data.humancellatlas.org/projects/04e4292c-f62f-4098-ae9b-fd69ae002a90,https://storage.googleapis.com/datarepo-480d5b63-bucket/396862d2-7fc4-4f89-8e99-f528d2226274/bb781b5c-f68a-4bea-a5c9-17f42f1a780a/clonalArchitectureHumans_metadata_24-04-2023.xlsx?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=datarepo-jade-api%40terra-datarepo-production.iam.gserviceaccount.com%2F20241008%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20241008T045435Z&X-Goog-Expires=900&X-Goog-SignedHeaders=host&requestedBy=azul-ucsc-0-public-prod%40platform-hca-prod.iam.gserviceaccount.com&userProject=datarepo-75b50ae7&X-Goog-Signature=4bd174f114e538d40959a37b97fe116a8c767032d448f0d6346b33cb9700a89255e0c9f8e384e6bc37b953ad76a25f2b471f2bba1bec76e6daff227b095788c2323ba69e5a7792306d9bc9526ddc9c8511af08fc3886eb9828e3b427e0c760c8ee73d310d6c351611f579f84bb8b70c5141430ba40ccc3c08de8cea1270e9230b770da6b35e6941a2da31cc1e04c20a33786cbec4867f5e5a378567da3ffdfb0876713f22f8f21a7fe1c26e16d19b8bb930fd42dea952d7f8eb216267b872c5b3e42ebba208225f751e363ddce29d4dd954a8305163b1f544ee9b3bda39bfbbafeb68f1ff3740d0818eb88332207c004526960b0af66415a958c1eece3fe25e7,65-70,obesity,NA,5000
cross_immune,D2_A31,https://explore.data.humancellatlas.org/projects/04e4292c-f62f-4098-ae9b-fd69ae002a91,https://storage.googleapis.com/datarepo-480d5b63-bucket/396862d2-7fc4-4f89-8e99-f528d2226274/bb781b5c-f68a-4bea-a5c9-17f42f1a780a/clonalArchitectureHumans_metadata_24-04-2023.xlsx?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=datarepo-jade-api%40terra-datarepo-production.iam.gserviceaccount.com%2F20241008%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20241008T045435Z&X-Goog-Expires=900&X-Goog-SignedHeaders=host&requestedBy=azul-ucsc-0-public-prod%40platform-hca-prod.iam.gserviceaccount.com&userProject=datarepo-75b50ae7&X-Goog-Signature=4bd174f114e538d40959a37b97fe116a8c767032d448f0d6346b33cb9700a89255e0c9f8e384e6bc37b953ad76a25f2b471f2bba1bec76e6daff227b095788c2323ba69e5a7792306d9bc9526ddc9c8511af08fc3886eb9828e3b427e0c760c8ee73d310d6c351611f579f84bb8b70c5141430ba40ccc3c08de8cea1270e9230b770da6b35e6941a2da31cc1e04c20a33786cbec4867f5e5a378567da3ffdfb0876713f22f8f21a7fe1c26e16d19b8bb930fd42dea952d7f8eb216267b872c5b3e42ebba208225f751e363ddce29d4dd954a8305163b1f544ee9b3bda39bfbbafeb68f1ff3740d0818eb88332207c004526960b0af66415a958c1eece3fe25e8,50-55,"obesity, smoker",NA,5000
